,ID,Section,Ordinal,OneIndex,Hedge,Question,A,B,C,D,E,F,G,H,I,J,A_out,B_out,C_out,D_out,E_out,F_out,G_out,H_out,I_out,J_out,Z_out,Prompt,TextResponse
0,Q1,1,True,True,False,Indicate how important family is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,6.34765625,6.4453125,6.953125,6.296875,,,,,,,-0.67431640625,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Indicate how important family is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
1,Q2,1,True,True,False,Indicate how important friends is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,6.2578125,6.39453125,6.9765625,6.28125,,,,,,,-0.6728515625,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Indicate how important friends is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
2,Q3,1,True,True,False,Indicate how important leisure time is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,6.35546875,6.44140625,6.98046875,6.28125,,,,,,,-0.66064453125,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Indicate how important leisure time is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
3,Q4,1,True,True,False,Indicate how important politics is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,6.4375,6.44140625,6.9453125,6.3046875,,,,,,,-0.60986328125,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Indicate how important politics is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
4,Q5,1,True,True,False,Indicate how important work is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,6.45703125,6.515625,7.01953125,6.3671875,,,,,,,-0.5791015625,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Indicate how important work is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
5,Q6,1,True,True,False,Indicate how important religion is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,6.3828125,6.42578125,6.87890625,6.2265625,,,,,,,-0.58837890625,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Indicate how important religion is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
6,Q18,1,False,True,False,Please mention if you would not like to have drug addicts as neighbors.,Mentioned,Not mentioned,,,,,,,,,6.578125,6.796875,,,,,,,,,0.73291015625,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Please mention if you would not like to have drug addicts as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
7,Q19,1,False,True,False,Please mention if you would not like to have people of a different race as neighbors.,Mentioned,Not mentioned,,,,,,,,,6.5390625,6.8203125,,,,,,,,,0.65673828125,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Please mention if you would not like to have people of a different race as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
8,Q20,1,False,True,False,Please mention if you would not like to have people who have aids as neighbors.,Mentioned,Not mentioned,,,,,,,,,6.59375,6.87890625,,,,,,,,,0.79296875,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Please mention if you would not like to have people who have aids as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
9,Q21,1,False,True,False,Please mention if you would not like to have immigrants/foreign workers as neighbors.,Mentioned,Not mentioned,,,,,,,,,6.59375,6.80078125,,,,,,,,,0.552734375,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Please mention if you would not like to have immigrants/foreign workers as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
