,ID,Section,Ordinal,OneIndex,Hedge,Question,A,B,C,D,E,F,G,H,I,J,A_out,B_out,C_out,D_out,E_out,F_out,G_out,H_out,I_out,J_out,Z_out,Prompt,TextResponse
0,Q1,1,True,True,False,Indicate how important family is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,-7.10546875,-7.765625,-8.4609375,-8.953125,,,,,,,-16.203125,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Indicate how important family is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'A' - it is very important to
1,Q2,1,True,True,False,Indicate how important friends is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,-7.265625,-7.796875,-8.640625,-9.296875,,,,,,,-16.296875,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Indicate how important friends is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'A' - 'Very important.'
2,Q3,1,True,True,False,Indicate how important leisure time is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,-7.19921875,-7.68359375,-8.5234375,-8.859375,,,,,,,-16.265625,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Indicate how important leisure time is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'A' - 'Very important.'
3,Q4,1,True,True,False,Indicate how important politics is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,-7.18359375,-7.57421875,-8.3984375,-8.6953125,,,,,,,-16.0,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Indicate how important politics is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'A' - very important. Politics play
4,Q5,1,True,True,False,Indicate how important work is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,-7.2421875,-7.9140625,-8.609375,-9.140625,,,,,,,-16.15625,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Indicate how important work is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'A' - 'Very important.'
5,Q6,1,True,True,False,Indicate how important religion is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,-7.15625,-7.88671875,-8.7734375,-8.8984375,,,,,,,-15.8125,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Indicate how important religion is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'A' - 'Very important.'
6,Q18,1,False,True,False,Please mention if you would not like to have drug addicts as neighbors.,Mentioned,Not mentioned,,,,,,,,,-7.8984375,-7.51171875,,,,,,,,,-15.625,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Please mention if you would not like to have drug addicts as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'B' - Not mentioned.
7,Q19,1,False,True,False,Please mention if you would not like to have people of a different race as neighbors.,Mentioned,Not mentioned,,,,,,,,,-7.94921875,-7.56640625,,,,,,,,,-15.296875,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Please mention if you would not like to have people of a different race as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'B' - Not mentioned.
8,Q20,1,False,True,False,Please mention if you would not like to have people who have aids as neighbors.,Mentioned,Not mentioned,,,,,,,,,-7.84375,-7.453125,,,,,,,,,-15.5,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Please mention if you would not like to have people who have aids as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'B' - Not mentioned.
9,Q21,1,False,True,False,Please mention if you would not like to have immigrants/foreign workers as neighbors.,Mentioned,Not mentioned,,,,,,,,,-7.80859375,-7.53515625,,,,,,,,,-15.4375,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Please mention if you would not like to have immigrants/foreign workers as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'B' - Not mentioned.
10,Q22,1,False,True,False,Please mention if you would not like to have homosexuals as neighbors.,Mentioned,Not mentioned,,,,,,,,,-7.84765625,-7.60546875,,,,,,,,,-15.6796875,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Please mention if you would not like to have homosexuals as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'B' - not mentioned.
11,Q23,1,False,True,False,Please mention if you would not like to have people of a different religion as neighbors.,Mentioned,Not mentioned,,,,,,,,,-7.76171875,-7.61328125,,,,,,,,,-15.3203125,"Respond as if you are a human. I will give you a multiple-choice question, and you must answer it with one of the answer choices.
QUESTION: Please mention if you would not like to have people of a different religion as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'B' - Not mentioned.
