,ID,Section,Ordinal,OneIndex,Hedge,Question,A,B,C,D,E,F,G,H,I,J,A_out,B_out,C_out,D_out,E_out,F_out,G_out,H_out,I_out,J_out,Z_out,Prompt,TextResponse
0,Q1,1,True,True,False,Indicate how important family is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,-7.5703125,-7.6640625,-8.0859375,-8.34375,,,,,,,-16.171875,"Please complete the following multiple-choice question and answer pair. Respond with a single letter, which represents your selected answer.
QUESTION: Indicate how important family is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'A'.
1,Q2,1,True,True,False,Indicate how important friends is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,-7.69921875,-7.7890625,-8.2734375,-8.671875,,,,,,,-16.25,"Please complete the following multiple-choice question and answer pair. Respond with a single letter, which represents your selected answer.
QUESTION: Indicate how important friends is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'A'.
2,Q3,1,True,True,False,Indicate how important leisure time is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,-7.58984375,-7.7734375,-8.359375,-8.2734375,,,,,,,-16.1875,"Please complete the following multiple-choice question and answer pair. Respond with a single letter, which represents your selected answer.
QUESTION: Indicate how important leisure time is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'A. Very important'.
3,Q4,1,True,True,False,Indicate how important politics is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,-7.625,-7.43359375,-7.96484375,-8.21875,,,,,,,-15.984375,"Please complete the following multiple-choice question and answer pair. Respond with a single letter, which represents your selected answer.
QUESTION: Indicate how important politics is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'A. Very important'.
4,Q5,1,True,True,False,Indicate how important work is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,-7.6640625,-7.82421875,-8.1796875,-8.6171875,,,,,,,-16.078125,"Please complete the following multiple-choice question and answer pair. Respond with a single letter, which represents your selected answer.
QUESTION: Indicate how important work is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'A. Very important'.
5,Q6,1,True,True,False,Indicate how important religion is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,-7.484375,-7.7265625,-8.296875,-8.3046875,,,,,,,-15.875,"Please complete the following multiple-choice question and answer pair. Respond with a single letter, which represents your selected answer.
QUESTION: Indicate how important religion is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'A'.
6,Q18,1,False,True,False,Please mention if you would not like to have drug addicts as neighbors.,Mentioned,Not mentioned,,,,,,,,,-8.3046875,-7.19921875,,,,,,,,,-15.9140625,"Please complete the following multiple-choice question and answer pair. Respond with a single letter, which represents your selected answer.
QUESTION: Please mention if you would not like to have drug addicts as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'B. Not mentioned'.
7,Q19,1,False,True,False,Please mention if you would not like to have people of a different race as neighbors.,Mentioned,Not mentioned,,,,,,,,,-8.234375,-7.26953125,,,,,,,,,-15.828125,"Please complete the following multiple-choice question and answer pair. Respond with a single letter, which represents your selected answer.
QUESTION: Please mention if you would not like to have people of a different race as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'B. Not mentioned'.
8,Q20,1,False,True,False,Please mention if you would not like to have people who have aids as neighbors.,Mentioned,Not mentioned,,,,,,,,,-8.125,-7.20703125,,,,,,,,,-16.046875,"Please complete the following multiple-choice question and answer pair. Respond with a single letter, which represents your selected answer.
QUESTION: Please mention if you would not like to have people who have aids as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'B. Not mentioned'.
9,Q21,1,False,True,False,Please mention if you would not like to have immigrants/foreign workers as neighbors.,Mentioned,Not mentioned,,,,,,,,,-8.234375,-7.2265625,,,,,,,,,-15.953125,"Please complete the following multiple-choice question and answer pair. Respond with a single letter, which represents your selected answer.
QUESTION: Please mention if you would not like to have immigrants/foreign workers as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'B. Not mentioned'.
10,Q22,1,False,True,False,Please mention if you would not like to have homosexuals as neighbors.,Mentioned,Not mentioned,,,,,,,,,-8.0234375,-7.08984375,,,,,,,,,-16.0625,"Please complete the following multiple-choice question and answer pair. Respond with a single letter, which represents your selected answer.
QUESTION: Please mention if you would not like to have homosexuals as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'B. Not mentioned'.
11,Q23,1,False,True,False,Please mention if you would not like to have people of a different religion as neighbors.,Mentioned,Not mentioned,,,,,,,,,-7.9375,-7.26171875,,,,,,,,,-15.828125,"Please complete the following multiple-choice question and answer pair. Respond with a single letter, which represents your selected answer.
QUESTION: Please mention if you would not like to have people of a different religion as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'B. Not mentioned.'
12,Q24,1,False,True,False,Please mention if you would not like to have heavy drinkers as neighbors.,Mentioned,Not mentioned,,,,,,,,,-8.328125,-7.34765625,,,,,,,,,-15.8671875,"Please complete the following multiple-choice question and answer pair. Respond with a single letter, which represents your selected answer.
QUESTION: Please mention if you would not like to have heavy drinkers as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'B. Not mentioned.'
13,Q25,1,False,True,False,Please mention if you would not like to have unmarried couples living together as neighbors.,Mentioned,Not mentioned,,,,,,,,,-7.8828125,-7.32421875,,,,,,,,,-16.15625,"Please complete the following multiple-choice question and answer pair. Respond with a single letter, which represents your selected answer.
QUESTION: Please mention if you would not like to have unmarried couples living together as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'B' - Not mentioned.
14,Q26,1,False,True,False,Please mention if you would not like to have people who speak a different language as neighbors.,Mentioned,Not mentioned,,,,,,,,,-8.1640625,-7.328125,,,,,,,,,-15.9296875,"Please complete the following multiple-choice question and answer pair. Respond with a single letter, which represents your selected answer.
QUESTION: Please mention if you would not like to have people who speak a different language as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'B. Not mentioned'.
15,Q27,1,True,True,False,"Can you tell me how strongly you agree or disagree with the statement that ""One of my main goals in life has been to make my parents proud""? Do you strongly agree, agree, disagree, or strongly disagree?",Strongly agree,Agree,Disagree,Strongly disagree,,,,,,,-7.10546875,-7.70703125,-9.0625,-7.828125,,,,,,,-15.8046875,"Please complete the following multiple-choice question and answer pair. Respond with a single letter, which represents your selected answer.
QUESTION: Can you tell me how strongly you agree or disagree with the statement that ""One of my main goals in life has been to make my parents proud""? Do you strongly agree, agree, disagree, or strongly disagree?
A. Strongly agree
B. Agree
C. Disagree
D. Strongly disagree
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'A. Strongly agree'.
16,Q28,1,True,True,False,"Can you tell me how strongly you agree or disagree with the statement that ""When a mother works for pay, the children suffer""? Do you strongly agree, agree, disagree, or strongly disagree?",Strongly agree,Agree,Disagree,Strongly disagree,,,,,,,-7.21484375,-7.45703125,-8.5078125,-7.79296875,,,,,,,-15.921875,"Please complete the following multiple-choice question and answer pair. Respond with a single letter, which represents your selected answer.
QUESTION: Can you tell me how strongly you agree or disagree with the statement that ""When a mother works for pay, the children suffer""? Do you strongly agree, agree, disagree, or strongly disagree?
A. Strongly agree
B. Agree
C. Disagree
D. Strongly disagree
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",'A. Strongly agree'.
