Country,Alignment
Romania,0.6697261330537566
Russia,0.6563429203096102
Thailand,0.6729895699178857
Japan,0.736354421318302
Unknown,0.6151439255835639
Kazakhstan,0.6486929386819031
Jordan,0.5207904764482294
Netherlands,0.7567369745333915
Andorra,0.7487447575742183
Germany,0.7368850315411829
Kenya,0.6432245890690452
Tunisia,0.5592008909154028
Chile,0.6757332636990182
Turkey,0.6444864057453231
South Korea,0.6758378625563085
China,0.6465310907205973
Taiwan,0.7108614450921206
Argentina,0.7387078410343767
Kyrgyzstan,0.5695887467772007
Australia,0.7413847763237073
Ukraine,0.6689421543013755
Lebanon,0.6163828009132101
Colombia,0.6690454465366663
New Zealand,0.7508319176600468
Greece,0.7084680190647327
Nicaragua,0.6452278386791525
Bangladesh,0.5350212370528017
Armenia,0.6384445175463216
Libya,0.5442615113404773
Egypt,0.5058555513399867
Nigeria,0.5886691522446444
United Kingdom,0.7492352129457241
Singapore,0.6796638470388583
Guatemala,0.6751522251486741
Slovakia,0.670264123664479
Vietnam,0.6096150606947865
Bolivia,0.6252416270042712
Cyprus,0.6662741505972899
United States of America,0.7294975084229227
Malaysia,0.6288311692124803
Czech Republic,0.6958301615511518
Brazil,0.6861087595753054
Pakistan,0.5214228013644675
Zimbabwe,0.6143224749717237
Hong Kong,0.6832522666449427
Ecuador,0.6305319151019889
Uruguay,0.7190765468423002
Peru,0.6616487465867681
Venezuela,0.6562756089028222
Philippines,0.5853095645815654
Mexico,0.6650689884259938
Ethiopia,0.6067531957204678
Myanmar,0.5306214367689096
Indonesia,0.6363500773031127
Iran,0.6086738838085873
Iraq,0.5263366425940333
Mongolia,0.6717346563562869
Puerto Rico,0.6713533384500229
Morocco,0.6088660825636758
Tajikistan,0.5456748717766088
Canada,0.7328085224879476
