Country,Alignment
Romania,0.6575720767520782
Russia,0.648587305426073
Thailand,0.6256412450205688
Japan,0.6531538240875697
Unknown,0.6127980226171355
Kazakhstan,0.6205843682632237
Jordan,0.6217765736725931
Netherlands,0.6746520607931843
Andorra,0.6652303303738571
Germany,0.6620791148254846
Kenya,0.6283068225458026
Tunisia,0.6229909821225836
Chile,0.6513446777250741
Turkey,0.6224479996636698
South Korea,0.644178194733658
China,0.5945332474498319
Taiwan,0.6507271675615259
Argentina,0.6686656575698466
Kyrgyzstan,0.6124574553365927
Australia,0.6684542080197639
Ukraine,0.6536957626095947
Lebanon,0.6460044750041211
Colombia,0.6580946202426092
New Zealand,0.6617889790778576
Greece,0.6650907061753338
Nicaragua,0.6458888057072633
Bangladesh,0.5883090809375929
Armenia,0.6352330011594031
Libya,0.6239749202239808
Egypt,0.633367211943356
Nigeria,0.6075058124727127
United Kingdom,0.669231614964823
Singapore,0.6315995874419166
Guatemala,0.6703387471892438
Slovakia,0.6601591799942742
Vietnam,0.607997521786356
Bolivia,0.6500464250192887
Cyprus,0.6583834467609876
United States of America,0.6710921616909397
Malaysia,0.6300916680619492
Czech Republic,0.6663312285531615
Brazil,0.6445492524872066
Pakistan,0.5876692911239787
Zimbabwe,0.6064002925678569
Hong Kong,0.6548286804208392
Ecuador,0.6447924577008067
Uruguay,0.6510357999499856
Peru,0.6607266787397644
Venezuela,0.6572177537284039
Philippines,0.5907305672666722
Mexico,0.6522410794062976
Ethiopia,0.607213262170595
Myanmar,0.5680167131522313
Indonesia,0.602190043060288
Iran,0.6219928431624552
Iraq,0.6175301851994986
Mongolia,0.6564580536989926
Puerto Rico,0.6535653780565303
Morocco,0.6447070427274353
Tajikistan,0.5962407211883433
Canada,0.6691673940427548
