,Region,Section,Alignment
90,Oceania,1,0.7442833443346474
91,Oceania,10,0.6686844488896901
92,Oceania,11,0.6812816226485031
93,Oceania,12,0.6570712067941363
94,Oceania,13,0.7101177317333468
95,Oceania,2,0.7071718741723277
96,Oceania,3,0.5413146509975931
97,Oceania,4,0.7400254685179274
98,Oceania,5,0.636765943422844
99,Oceania,6,0.7251397818557019
100,Oceania,7,0.7489423561350594
101,Oceania,8,0.32431068535387536
102,Oceania,9,0.7365190342790477
103,Oceania,AllQuestions,0.6617721035491115
104,Oceania,SectionsAvg,0.6632021653180539
