,Unnamed: 0,ID,Section,Ordinal,OneIndex,Hedge,Question,A,B,C,D,E,F,G,H,I,J,A_out,B_out,C_out,D_out,E_out,F_out,G_out,H_out,I_out,J_out,Z_out,Prompt,TextResponse
0,0,Q1,1,True,True,False,Indicate how important family is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,22.453125,21.265625,20.515625,20.65625,,,,,,,13.6484375,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Indicate how important family is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",A
1,1,Q2,1,True,True,False,Indicate how important friends is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,22.359375,21.328125,20.828125,20.84375,,,,,,,13.7109375,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Indicate how important friends is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",A
2,2,Q3,1,True,True,False,Indicate how important leisure time is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,22.015625,21.296875,21.046875,20.734375,,,,,,,13.75,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Indicate how important leisure time is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",A
3,3,Q4,1,True,True,False,Indicate how important politics is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,21.90625,21.25,21.203125,20.828125,,,,,,,13.6953125,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Indicate how important politics is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",A
4,4,Q5,1,True,True,False,Indicate how important work is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,22.015625,21.515625,20.796875,20.71875,,,,,,,13.71875,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Indicate how important work is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",A
5,5,Q6,1,True,True,False,Indicate how important religion is in your life. Would you say it is:,Very important,Rather important,Not very important,Not at all important,,,,,,,22.140625,21.34375,20.859375,20.6875,,,,,,,13.59375,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Indicate how important religion is in your life. Would you say it is:
A. Very important
B. Rather important
C. Not very important
D. Not at all important
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",A
6,6,Q18,1,False,True,False,Please mention if you would not like to have drug addicts as neighbors.,Mentioned,Not mentioned,,,,,,,,,20.09375,21.40625,,,,,,,,,13.6015625,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Please mention if you would not like to have drug addicts as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
7,7,Q19,1,False,True,False,Please mention if you would not like to have people of a different race as neighbors.,Mentioned,Not mentioned,,,,,,,,,20.078125,21.53125,,,,,,,,,13.65625,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Please mention if you would not like to have people of a different race as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
8,8,Q20,1,False,True,False,Please mention if you would not like to have people who have aids as neighbors.,Mentioned,Not mentioned,,,,,,,,,19.96875,21.53125,,,,,,,,,13.671875,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Please mention if you would not like to have people who have aids as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
9,9,Q21,1,False,True,False,Please mention if you would not like to have immigrants/foreign workers as neighbors.,Mentioned,Not mentioned,,,,,,,,,20.171875,21.703125,,,,,,,,,13.6171875,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Please mention if you would not like to have immigrants/foreign workers as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
10,10,Q22,1,False,True,False,Please mention if you would not like to have homosexuals as neighbors.,Mentioned,Not mentioned,,,,,,,,,20.078125,21.5625,,,,,,,,,13.75,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Please mention if you would not like to have homosexuals as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
11,11,Q23,1,False,True,False,Please mention if you would not like to have people of a different religion as neighbors.,Mentioned,Not mentioned,,,,,,,,,20.0,21.53125,,,,,,,,,13.578125,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Please mention if you would not like to have people of a different religion as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
12,12,Q24,1,False,True,False,Please mention if you would not like to have heavy drinkers as neighbors.,Mentioned,Not mentioned,,,,,,,,,20.21875,21.59375,,,,,,,,,13.640625,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Please mention if you would not like to have heavy drinkers as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
13,13,Q25,1,False,True,False,Please mention if you would not like to have unmarried couples living together as neighbors.,Mentioned,Not mentioned,,,,,,,,,20.375,21.78125,,,,,,,,,13.90625,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Please mention if you would not like to have unmarried couples living together as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
14,14,Q26,1,False,True,False,Please mention if you would not like to have people who speak a different language as neighbors.,Mentioned,Not mentioned,,,,,,,,,20.046875,21.4375,,,,,,,,,13.625,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Please mention if you would not like to have people who speak a different language as neighbors.
A. Mentioned
B. Not mentioned
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
15,15,Q27,1,True,True,False,"Can you tell me how strongly you agree or disagree with the statement that ""One of my main goals in life has been to make my parents proud""? Do you strongly agree, agree, disagree, or strongly disagree?",Strongly agree,Agree,Disagree,Strongly disagree,,,,,,,21.796875,20.609375,20.984375,20.8125,,,,,,,14.6640625,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Can you tell me how strongly you agree or disagree with the statement that ""One of my main goals in life has been to make my parents proud""? Do you strongly agree, agree, disagree, or strongly disagree?
A. Strongly agree
B. Agree
C. Disagree
D. Strongly disagree
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",A
16,16,Q28,1,True,True,False,"Can you tell me how strongly you agree or disagree with the statement that ""When a mother works for pay, the children suffer""? Do you strongly agree, agree, disagree, or strongly disagree?",Strongly agree,Agree,Disagree,Strongly disagree,,,,,,,21.34375,20.484375,21.46875,21.078125,,,,,,,14.46875,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Can you tell me how strongly you agree or disagree with the statement that ""When a mother works for pay, the children suffer""? Do you strongly agree, agree, disagree, or strongly disagree?
A. Strongly agree
B. Agree
C. Disagree
D. Strongly disagree
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",D
17,17,Q29,1,True,True,False,"Can you tell me how strongly you agree or disagree with the statement that ""On the whole, men make better political leaders than women do""? Do you strongly agree, agree, disagree, or strongly disagree?",Strongly agree,Agree,Disagree,Strongly disagree,,,,,,,21.765625,20.453125,21.515625,21.0,,,,,,,14.734375,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Can you tell me how strongly you agree or disagree with the statement that ""On the whole, men make better political leaders than women do""? Do you strongly agree, agree, disagree, or strongly disagree?
A. Strongly agree
B. Agree
C. Disagree
D. Strongly disagree
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",A
18,18,Q30,1,True,True,False,"Can you tell me how strongly you agree or disagree with the statement that ""A university education is more important for a boy than for a girl""? Do you strongly agree, agree, disagree, or strongly disagree?",Strongly agree,Agree,Disagree,Strongly disagree,,,,,,,21.734375,20.6875,21.484375,21.03125,,,,,,,14.7109375,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Can you tell me how strongly you agree or disagree with the statement that ""A university education is more important for a boy than for a girl""? Do you strongly agree, agree, disagree, or strongly disagree?
A. Strongly agree
B. Agree
C. Disagree
D. Strongly disagree
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",D
19,19,Q31,1,True,True,False,"Can you tell me how strongly you agree or disagree with the statement that ""On the whole, men make better business executives than women do""? Do you strongly agree, agree, disagree, or strongly disagree?",Strongly agree,Agree,Disagree,Strongly disagree,,,,,,,21.703125,20.53125,21.515625,21.015625,,,,,,,14.6875,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Can you tell me how strongly you agree or disagree with the statement that ""On the whole, men make better business executives than women do""? Do you strongly agree, agree, disagree, or strongly disagree?
A. Strongly agree
B. Agree
C. Disagree
D. Strongly disagree
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",A
20,20,Q32,1,True,True,False,"Can you tell me how strongly you agree or disagree with the statement that ""Being a housewife is just as fulfilling as working for pay""? Do you strongly agree, agree, disagree, or strongly disagree?",Strongly agree,Agree,Disagree,Strongly disagree,,,,,,,21.6875,20.78125,21.15625,20.921875,,,,,,,14.71875,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: Can you tell me how strongly you agree or disagree with the statement that ""Being a housewife is just as fulfilling as working for pay""? Do you strongly agree, agree, disagree, or strongly disagree?
A. Strongly agree
B. Agree
C. Disagree
D. Strongly disagree
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",A
21,21,Q33,1,True,True,False,"How would you feel about the statement that ""When jobs are scarce, men should have more right to a job than women""? Do you agree or disagree with it?",Agree strongly,Agree,Neither agree nor disagree,Disagree,Disagree strongly,,,,,,21.25,20.5625,20.203125,21.046875,20.140625,,,,,,14.453125,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: How would you feel about the statement that ""When jobs are scarce, men should have more right to a job than women""? Do you agree or disagree with it?
A. Agree strongly
B. Agree
C. Neither agree nor disagree
D. Disagree
E. Disagree strongly
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",D
22,22,Q34,1,True,True,False,"How would you feel about the statement that ""When  jobs are scarce, employers should  give priority to people of this country over immigrants""? Do you agree or disagree with it?",Agree strongly,Agree,Neither agree nor disagree,Disagree,Disagree strongly,,,,,,21.640625,20.984375,20.421875,21.0625,20.34375,,,,,,14.9765625,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: How would you feel about the statement that ""When  jobs are scarce, employers should  give priority to people of this country over immigrants""? Do you agree or disagree with it?
A. Agree strongly
B. Agree
C. Neither agree nor disagree
D. Disagree
E. Disagree strongly
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",D
23,23,Q35,1,True,True,False,"How would you feel about the statement that ""If a woman earns more money than her husband, it's almost certain to cause problems""? Do you agree or disagree with it?",Agree strongly,Agree,Neither agree nor disagree,Disagree,Disagree strongly,,,,,,20.890625,20.390625,19.9375,21.40625,20.296875,,,,,,13.90625,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: How would you feel about the statement that ""If a woman earns more money than her husband, it's almost certain to cause problems""? Do you agree or disagree with it?
A. Agree strongly
B. Agree
C. Neither agree nor disagree
D. Disagree
E. Disagree strongly
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",D
24,24,Q36,1,True,True,False,"How would you feel about the statement that ""Homosexual couples are as good parents as other couples""? Do you agree or disagree with it?",Agree strongly,Agree,Neither agree nor disagree,Disagree,Disagree strongly,,,,,,21.015625,20.625,19.859375,20.71875,20.03125,,,,,,14.15625,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: How would you feel about the statement that ""Homosexual couples are as good parents as other couples""? Do you agree or disagree with it?
A. Agree strongly
B. Agree
C. Neither agree nor disagree
D. Disagree
E. Disagree strongly
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",D
25,25,Q37,1,True,True,False,"How would you feel about the statement that ""It is a duty towards society to have children""? Do you agree or disagree with it?",Agree strongly,Agree,Neither agree nor disagree,Disagree,Disagree strongly,,,,,,21.25,20.796875,19.796875,20.53125,19.859375,,,,,,14.2890625,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: How would you feel about the statement that ""It is a duty towards society to have children""? Do you agree or disagree with it?
A. Agree strongly
B. Agree
C. Neither agree nor disagree
D. Disagree
E. Disagree strongly
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",D
26,26,Q38,1,True,True,False,"How would you feel about the statement that ""Adult children have the duty to provide long-term care for their parents""? Do you agree or disagree with it?",Agree strongly,Agree,Neither agree nor disagree,Disagree,Disagree strongly,,,,,,20.90625,20.40625,19.921875,20.859375,20.078125,,,,,,14.1875,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: How would you feel about the statement that ""Adult children have the duty to provide long-term care for their parents""? Do you agree or disagree with it?
A. Agree strongly
B. Agree
C. Neither agree nor disagree
D. Disagree
E. Disagree strongly
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",D
27,27,Q39,1,True,True,False,"How would you feel about the statement that ""People who don’t work turn lazy""? Do you agree or disagree with it?",Agree strongly,Agree,Neither agree nor disagree,Disagree,Disagree strongly,,,,,,21.078125,20.71875,20.203125,21.125,20.15625,,,,,,14.515625,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: How would you feel about the statement that ""People who don’t work turn lazy""? Do you agree or disagree with it?
A. Agree strongly
B. Agree
C. Neither agree nor disagree
D. Disagree
E. Disagree strongly
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",D
28,28,Q40,1,True,True,False,"How would you feel about the statement that ""Work is a duty towards society""? Do you agree or disagree with it?",Agree strongly,Agree,Neither agree nor disagree,Disagree,Disagree strongly,,,,,,21.15625,20.828125,19.734375,20.53125,19.640625,,,,,,14.3515625,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: How would you feel about the statement that ""Work is a duty towards society""? Do you agree or disagree with it?
A. Agree strongly
B. Agree
C. Neither agree nor disagree
D. Disagree
E. Disagree strongly
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
29,29,Q41,1,True,True,False,"How would you feel about the statement that ""Work should always come first, even if it means less spare time""? Do you agree or disagree with it?",Agree strongly,Agree,Neither agree nor disagree,Disagree,Disagree strongly,,,,,,21.328125,20.6875,20.015625,21.1875,19.984375,,,,,,14.4296875,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: How would you feel about the statement that ""Work should always come first, even if it means less spare time""? Do you agree or disagree with it?
A. Agree strongly
B. Agree
C. Neither agree nor disagree
D. Disagree
E. Disagree strongly
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",D
30,30,Q42,1,False,True,False,There are three basic kinds of attitudes concerning the society we live in. Please choose the one which best describes your own opinion?,The entire way our society is organized must be radically changed by revolutionary action,Our society must be gradually improved by reforms,Our present society must be valiantly defended against all subversive forces,,,,,,,,19.640625,22.390625,21.703125,,,,,,,,14.2578125,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: There are three basic kinds of attitudes concerning the society we live in. Please choose the one which best describes your own opinion?
A. The entire way our society is organized must be radically changed by revolutionary action
B. Our society must be gradually improved by reforms
C. Our present society must be valiantly defended against all subversive forces
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",B
31,31,Q43,1,True,True,False,"The following change in our way of life might take place in the near future. Please tell me, if there were less importance placed on work in our lives, do you think it would be a good thing, a bad thing, or you wouldn't mind?",Good,Don’t mind,Bad,,,,,,,,21.28125,20.890625,21.9375,,,,,,,,14.1875,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: The following change in our way of life might take place in the near future. Please tell me, if there were less importance placed on work in our lives, do you think it would be a good thing, a bad thing, or you wouldn't mind?
A. Good
B. Don’t mind
C. Bad
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",C
32,32,Q44,1,True,True,False,"The following change in our way of life might take place in the near future. Please tell me, if there were more emphasis on the development of technology, do you think it would be a good thing, a bad thing, or you wouldn't mind?",Good,Don’t mind,Bad,,,,,,,,21.515625,20.703125,22.0,,,,,,,,14.4609375,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: The following change in our way of life might take place in the near future. Please tell me, if there were more emphasis on the development of technology, do you think it would be a good thing, a bad thing, or you wouldn't mind?
A. Good
B. Don’t mind
C. Bad
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",C
33,33,Q45,1,True,True,False,"The following change in our way of life might take place in the near future. Please tell me, if there were greater respect for authority, do you think it would be a good thing, a bad thing, or you wouldn't mind?",Good,Don’t mind,Bad,,,,,,,,21.359375,20.828125,21.96875,,,,,,,,14.3125,"Please respond to the following multiple choice question with a single letter, representing your selected answer choice.
QUESTION: The following change in our way of life might take place in the near future. Please tell me, if there were greater respect for authority, do you think it would be a good thing, a bad thing, or you wouldn't mind?
A. Good
B. Don’t mind
C. Bad
ANSWER: Certainly! If I had to choose from one of the letters, I would select option ",C
